condition,n_anomalies,anomaly_share,baseline_share,lift
Blizzard,10,0.0016082341588935349,6.768922522912803e-05,23.759086522997748
Patchy snow possible,4,0.000643293663557414,3.3844612614564014e-05,19.0072692183982
Moderate or heavy freezing rain,1,0.0001608234158893535,1.3537845045825605e-05,11.879543261498874
Blowing snow,19,0.0030556449018977164,0.0002775258234394249,11.010308388706274
Heavy rain,30,0.004824702476680605,0.00043997996398933216,10.965732241383577
Heavy snow,49,0.00788034737857832,0.0008731910054557516,9.024769299433252
Haze,3,0.00048247024766806047,5.415138018330242e-05,8.909657446124156
Torrential rain shower,6,0.0009649404953361209,0.00011507168288951765,8.385559949293322
Patchy snow nearby,1,0.0001608234158893535,2.030676756873841e-05,7.9196955076659155
Light sleet showers,4,0.000643293663557414,8.122707027495364e-05,7.9196955076659155
Heavy rain at times,4,0.000643293663557414,9.476491532077924e-05,6.788310435142213
Moderate snow,23,0.0036989385654551303,0.0005888962594934138,6.2811378164246925
Moderate or heavy snow in area with thunder,1,0.0001608234158893535,2.707569009165121e-05,5.939771630749437
Light sleet,14,0.002251527822450949,0.0004196731964205938,5.364955021322072
Patchy heavy snow,6,0.0009649404953361209,0.0002098365982102969,4.598532875418919
Moderate or heavy rain in area with thunder,2,0.000321646831778707,8.122707027495364e-05,3.9598477538329577
Freezing fog,39,0.006272113219684786,0.0016786927856823751,3.7363079612778716
Moderate rain,168,0.027018333869411385,0.0073713566274520425,3.6653136233825725
Moderate rain at times,21,0.003377291733676423,0.0009341113081619668,3.6155131665431353
Light snow,77,0.012383403023480219,0.0035536843245292213,3.4846660233730034
Patchy light snow,12,0.0019298809906722419,0.0006565854847225418,2.939268435834773
Patchy light rain,30,0.004824702476680605,0.0017666887784802414,2.7309294854020405
Light rain,516,0.0829848825989064,0.030988127309894812,2.67795732762491
Dust storm,1,0.0001608234158893535,6.092030270621522e-05,2.6398985025553054
Patchy light drizzle,56,0.009006111289803796,0.003438612641639704,2.6191119001729803
Moderate or heavy rain shower,34,0.005467996140238018,0.002105134904625882,2.5974564044434834
Light drizzle,73,0.011740109359922805,0.005009002666955474,2.3438017786200485
Moderate or heavy rain with thunder,109,0.01752975233193953,0.00787225689414759,2.2267759509946297
Patchy rain possible,4,0.000643293663557414,0.00032490828109981454,1.9799238769164789
Light snow showers,5,0.0008041170794467674,0.00043321104146641935,1.856178634609199
Smoky haze,2,0.000321646831778707,0.00018276090811864568,1.7599323350368703
Overcast,550,0.08845287873914442,0.053718169141836004,1.6466100790888056
Thundery outbreaks possible,2,0.000321646831778707,0.00020306767568738408,1.5839391015331832
Light freezing rain,6,0.0009649404953361209,0.0006295097946308907,1.5328442918063063
Moderate or heavy snow showers,3,0.00048247024766806047,0.00035198397119146573,1.3707165301729471
Clear,415,0.06674171759408169,0.053995694965275426,1.2360562751716266
Light rain shower,169,0.02717915728530074,0.022926340585105662,1.1854991503946324
Thundery outbreaks in nearby,15,0.0024123512383403024,0.002138979517240446,1.1278047400157158
Fog,87,0.013991637182373754,0.012448048519636644,1.124002461936272
Mist,252,0.04052750080411708,0.04117535570687858,0.9842659549228066
Patchy light rain with thunder,36,0.005789642972016726,0.006146181650804825,0.9419902145681928
Partly cloudy,1515,0.24364747507237053,0.27983402601973817,0.8706856651348924
Patchy light rain in area with thunder,8,0.001286587327114828,0.0015297764901782934,0.8410296114335486
Sunny,1237,0.19893856545513028,0.2902446288599781,0.6854168714043755
Partly Cloudy,270,0.043422322290125444,0.06676188284348897,0.650405896908587
Cloudy,49,0.00788034737857832,0.012305901146655475,0.640371418936683
Patchy rain nearby,280,0.045030556449018974,0.0854373400842054,0.5270594380002669
