feature,importance,lens
temperature_celsius_lag1,0.4200265109539032,native gain (biased)
temperature_celsius_rollmean3,0.24964387714862823,native gain (biased)
temperature_celsius_rollmin3,0.20955978333950043,native gain (biased)
temperature_celsius_rollmin14,0.015452466905117035,native gain (biased)
temperature_celsius_rollmax3,0.014243027195334435,native gain (biased)
temperature_celsius_rollmin7,0.012509935535490513,native gain (biased)
temperature_celsius_rollmean7,0.00881293136626482,native gain (biased)
temperature_celsius_rollmean14,0.004075000528246164,native gain (biased)
abs_latitude,0.003727384377270937,native gain (biased)
month_cos,0.0033481866121292114,native gain (biased)
day_of_year,0.0033130059018731117,native gain (biased)
temperature_celsius_lag7,0.003139493754133582,native gain (biased)
day_of_year_sin,0.002944448497146368,native gain (biased)
week,0.0026337557937949896,native gain (biased)
latitude,0.0026110466569662094,native gain (biased)
temperature_celsius_rollmax7,0.0025551721919327974,native gain (biased)
temperature_celsius_lag3,0.0025170359294861555,native gain (biased)
temperature_celsius_rollmax14,0.0024350264575332403,native gain (biased)
wind_degree_sin,0.0022870723623782396,native gain (biased)
precip_mm_lag1,0.0021257142070680857,native gain (biased)
pressure_mb_lag1,0.0020946108270436525,native gain (biased)
longitude,0.00209441757760942,native gain (biased)
temperature_celsius_lag2,0.002088352106511593,native gain (biased)
temperature_celsius_lag14,0.0020524109713733196,native gain (biased)
wind_kph_lag1,0.0020296096336096525,native gain (biased)
day_of_year_cos,0.0019865031354129314,native gain (biased)
temperature_celsius_rollstd3,0.001951370621100068,native gain (biased)
wind_degree_cos,0.0019413046538829803,native gain (biased)
temperature_celsius_rollstd7,0.0019046699162572622,native gain (biased)
temperature_celsius_rollstd14,0.0019012652337551117,native gain (biased)
cloud_lag1,0.0018556955037638545,native gain (biased)
dayofweek_sin,0.0017391598084941506,native gain (biased)
humidity_lag1,0.001676190528087318,native gain (biased)
dayofweek_cos,0.0016434633871540427,native gain (biased)
month,0.00162653683219105,native gain (biased)
dayofweek,0.001455873716622591,native gain (biased)
month_sin,0.0013372740941122174,native gain (biased)
is_weekend,0.00038159103132784367,native gain (biased)
quarter,0.00027879595290869474,native gain (biased)
year,0.0,native gain (biased)
