feature,importance,lens,importance_std
temperature_celsius_lag1,7.410549526174469,permutation (validation),0.22553846076256637
temperature_celsius_rollmean3,1.4194762079970524,permutation (validation),0.06003206337635619
temperature_celsius_rollmin3,0.9524334237891257,permutation (validation),0.046951763893741144
temperature_celsius_rollmin7,0.28895031438630536,permutation (validation),0.01429694572300481
temperature_celsius_rollmean7,0.26044581960851154,permutation (validation),0.015199917687947661
temperature_celsius_lag14,0.20722600948381958,permutation (validation),0.009114678964451325
temperature_celsius_rollmin14,0.18946403782359428,permutation (validation),0.00925040004738581
temperature_celsius_rollmax3,0.15835070038648116,permutation (validation),0.0063604825302474915
abs_latitude,0.12403126096341266,permutation (validation),0.010033219183721059
temperature_celsius_rollmean14,0.10458744655885957,permutation (validation),0.013130410650527268
latitude,0.08586952516926631,permutation (validation),0.0072384122407107695
temperature_celsius_rollmax14,0.06340508294808096,permutation (validation),0.0025773018022685404
temperature_celsius_lag2,0.02387179225948799,permutation (validation),0.006635048069241985
humidity_lag1,0.01833040319661734,permutation (validation),0.006475270236208469
temperature_celsius_rollmax7,0.01736830330631811,permutation (validation),0.0038873054668251855
temperature_celsius_rollstd7,0.008278298597947487,permutation (validation),0.013537426002053697
pressure_mb_lag1,0.0023755793161068794,permutation (validation),0.0074843651499477875
longitude,0.0023499410885587046,permutation (validation),0.002119797953595638
dayofweek_sin,0.0021863756342050955,permutation (validation),0.0036845545135357357
dayofweek,0.001310885707065168,permutation (validation),0.0016401569370534845
month_cos,0.00011563583964306901,permutation (validation),0.0002206341489175757
is_weekend,1.6032016162448314e-05,permutation (validation),9.455906247200801e-06
day_of_year_sin,0.0,permutation (validation),0.0
month_sin,0.0,permutation (validation),0.0
month,0.0,permutation (validation),0.0
day_of_year,0.0,permutation (validation),0.0
quarter,0.0,permutation (validation),0.0
week,0.0,permutation (validation),0.0
year,0.0,permutation (validation),0.0
cloud_lag1,-0.0003966036730280287,permutation (validation),0.005720397149134163
precip_mm_lag1,-0.0005592569118000768,permutation (validation),0.002227981796106154
wind_kph_lag1,-0.0011378800149386414,permutation (validation),0.0066564656403801286
dayofweek_cos,-0.0015602433488065338,permutation (validation),0.000944063680191824
day_of_year_cos,-0.0017276143092217922,permutation (validation),0.0017961416469507749
temperature_celsius_rollstd14,-0.0036915315982169795,permutation (validation),0.006973553873883701
wind_degree_cos,-0.005626894550249517,permutation (validation),0.0036175504193379465
wind_degree_sin,-0.007843922894928745,permutation (validation),0.012463808748066975
temperature_celsius_rollstd3,-0.009503167073605745,permutation (validation),0.005200974105142551
temperature_celsius_lag7,-0.02396660079289985,permutation (validation),0.0064362329363728986
temperature_celsius_lag3,-0.08906881017812669,permutation (validation),0.0053239148723159945
