country,n_days,pct_dry_days,wet_count,wet_mean,wet_std,wet_min,wet_25%,wet_50%,wet_75%,wet_max
Iceland,220,75.4545,54.0,3.8653703703703703,3.167757204915522,0.08,0.81,3.89,5.7175,13.27
Australia,220,75.0,55.0,3.6847272727272733,3.697239137391202,0.01,1.365,2.38,4.865,17.55
Japan,220,74.5455,56.0,4.165892857142857,3.87495678652067,0.05,1.3499999999999999,2.8049999999999997,5.8125,16.74
Russia,220,74.5455,56.0,4.67875,4.4258990098571545,0.09,1.5975000000000001,3.635,7.2675,25.2
Indonesia,220,74.0909,57.0,4.704736842105263,4.876502004973573,0.13,1.23,3.19,6.29,21.35
India,220,74.0909,57.0,4.079649122807018,3.672358606104471,0.06,1.06,3.39,5.64,19.54
Brazil,220,73.1818,59.0,3.7084745762711866,5.613992314024726,0.03,0.595,2.32,3.9299999999999997,29.21
United States of America,220,73.1818,59.0,3.312372881355932,3.296244644305694,0.09,1.135,2.17,4.765,18.18
Argentina,220,71.8182,62.0,4.231129032258065,3.9691536467617787,0.06,1.1675,3.0549999999999997,6.4675,18.43
Egypt,220,71.3636,63.0,5.252222222222223,5.104537337868316,0.01,1.7349999999999999,4.11,7.3149999999999995,28.97
United Kingdom,220,70.0,66.0,3.792878787878787,4.088692010204774,0.11,0.9424999999999999,2.45,5.3925,22.83
Kenya,220,69.5455,67.0,4.557462686567164,4.262317033586161,0.04,1.06,3.91,6.585,21.14
