country,location_name,n_obs,first_date,last_date,span_days,n_gaps
Afghanistan,Kabul,760,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,3
Ukraine,Kyiv,760,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,3
Yemen,Sanaa,760,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,4
Burundi,Bujumbura,760,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,3
Chad,N'djamena,760,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,3
Fiji Islands,Suva,760,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,3
Eritrea,Asmara,760,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,3
Vatican City,Vatican City,760,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,3
Uzbekistan,Tashkent,760,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,3
Ghana,Accra,760,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,3
Iraq,Baghdad,760,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,3
Jordan,Amman,760,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,3
Japan,Tokyo,760,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,4
Poland,Warsaw,760,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,3
Senegal,Dakar,760,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,3
Equatorial Guinea,Malabo,760,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,3
Malta,Valletta,760,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,3
Singapore,Singapore,759,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Zambia,Lusaka,759,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,4
South Africa,Pretoria,759,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,4
Slovakia,Bratislava,759,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,4
Serbia,Belgrade,759,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,4
Cape Verde,Praia,759,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,4
United Arab Emirates,Abu Dhabi,759,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,4
Uganda,Kampala,759,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,4
Tuvalu,Funafuti,759,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,4
Angola,Luanda,759,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,4
Botswana,Gaborone,759,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,4
Burkina Faso,Ouagadougou,759,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,4
Bosnia and Herzegovina,Sarajevo,759,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,4
Slovenia,Ljubljana,759,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,4
Spain,Madrid,759,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,4
Sri Lanka,Colombo,759,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,4
Switzerland,Bern,759,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,4
